PERFUME_ID,OCCASION,ratio,LOAD_DT
8500,Night Out,25.57,2026-01-19 08:38:20
8500,Leisure,18.76,2026-01-19 08:38:20
8500,Daily,15.47,2026-01-19 08:38:20
8502,Leisure,21.88,2026-01-19 08:38:20
8502,Daily,19.79,2026-01-19 08:38:20
8502,Business,19.79,2026-01-19 08:38:20
8502,Evening,15.62,2026-01-19 08:38:20
8505,Evening,29.79,2026-01-19 08:38:20
8505,Night Out,27.18,2026-01-19 08:38:20
8505,Daily,16.16,2026-01-19 08:38:20
8506,Daily,24.82,2026-01-19 08:38:20
8506,Leisure,24.09,2026-01-19 08:38:20
8506,Business,22.63,2026-01-19 08:38:20
8507,Night Out,28.57,2026-01-19 08:38:20
8507,Business,28.57,2026-01-19 08:38:20
8509,Daily,22.77,2026-01-19 08:38:20
8509,Business,21.52,2026-01-19 08:38:20
8509,Leisure,20.75,2026-01-19 08:38:20
8509,Evening,15.54,2026-01-19 08:38:20
8509,Night Out,15.07,2026-01-19 08:38:20
8511,Leisure,33.33,2026-01-19 08:38:20
8511,Night Out,33.33,2026-01-19 08:38:20
8511,Business,33.33,2026-01-19 08:38:20
8513,Evening,27.57,2026-01-19 08:38:20
8513,Night Out,25.5,2026-01-19 08:38:20
8513,Daily,15.95,2026-01-19 08:38:20
8513,Business,15.77,2026-01-19 08:38:20
8513,Leisure,15.23,2026-01-19 08:38:20
8514,Daily,28.49,2026-01-19 08:38:20
8514,Leisure,27.37,2026-01-19 08:38:20
8514,Business,25.7,2026-01-19 08:38:20
8517,Evening,31.32,2026-01-19 08:38:20
8517,Night Out,30.35,2026-01-19 08:38:20
8517,Leisure,15.76,2026-01-19 08:38:20
8518,Daily,26.72,2026-01-19 08:38:20
8518,Business,25.19,2026-01-19 08:38:20
8518,Leisure,22.9,2026-01-19 08:38:20
8519,Daily,25.0,2026-01-19 08:38:20
8519,Leisure,25.0,2026-01-19 08:38:20
8519,Business,25.0,2026-01-19 08:38:20
8520,Leisure,37.5,2026-01-19 08:38:20
8520,Evening,37.5,2026-01-19 08:38:20
8520,Night Out,25.0,2026-01-19 08:38:20
8521,Evening,28.27,2026-01-19 08:38:20
8521,Night Out,25.77,2026-01-19 08:38:20
8521,Leisure,18.68,2026-01-19 08:38:20
8522,Leisure,28.4,2026-01-19 08:38:20
8522,Daily,27.78,2026-01-19 08:38:20
8522,Business,20.99,2026-01-19 08:38:20
8523,Daily,25.0,2026-01-19 08:38:20
8523,Sport,25.0,2026-01-19 08:38:20
8523,Leisure,25.0,2026-01-19 08:38:20
8523,Business,25.0,2026-01-19 08:38:20
8526,Leisure,29.47,2026-01-19 08:38:20
8526,Daily,25.26,2026-01-19 08:38:20
8526,Business,18.95,2026-01-19 08:38:20
8528,Business,37.5,2026-01-19 08:38:20
8528,Daily,25.0,2026-01-19 08:38:20
8528,Leisure,25.0,2026-01-19 08:38:20
8529,Daily,27.35,2026-01-19 08:38:20
8529,Leisure,24.82,2026-01-19 08:38:20
8529,Business,24.37,2026-01-19 08:38:20
8532,Business,40.0,2026-01-19 08:38:20
8532,Daily,20.0,2026-01-19 08:38:20
8532,Leisure,20.0,2026-01-19 08:38:20
8532,Night Out,20.0,2026-01-19 08:38:20
8533,Evening,31.76,2026-01-19 08:38:20
8533,Night Out,29.08,2026-01-19 08:38:20
8533,Leisure,17.47,2026-01-19 08:38:20
8537,Night Out,25.76,2026-01-19 08:38:20
8537,Evening,24.24,2026-01-19 08:38:20
8537,Leisure,21.21,2026-01-19 08:38:20
8537,Daily,16.67,2026-01-19 08:38:20
8538,Daily,33.33,2026-01-19 08:38:20
8538,Leisure,33.33,2026-01-19 08:38:20
8538,Business,33.33,2026-01-19 08:38:20
8539,Daily,24.23,2026-01-19 08:38:20
8539,Business,22.54,2026-01-19 08:38:20
8539,Leisure,20.95,2026-01-19 08:38:20
8542,Leisure,28.26,2026-01-19 08:38:20
8542,Evening,20.65,2026-01-19 08:38:20
8542,Night Out,19.57,2026-01-19 08:38:20
8542,Daily,18.48,2026-01-19 08:38:20
8543,Leisure,22.9,2026-01-19 08:38:20
8543,Daily,22.66,2026-01-19 08:38:20
8543,Business,19.98,2026-01-19 08:38:20
8544,Night Out,33.33,2026-01-19 08:38:20
8544,Business,33.33,2026-01-19 08:38:20
8544,Leisure,16.67,2026-01-19 08:38:20
8544,Evening,16.67,2026-01-19 08:38:20
8546,Leisure,32.17,2026-01-19 08:38:20
8546,Daily,31.3,2026-01-19 08:38:20
8546,Business,22.61,2026-01-19 08:38:20
8547,Evening,21.68,2026-01-19 08:38:20
8547,Daily,21.49,2026-01-19 08:38:20
8547,Night Out,20.81,2026-01-19 08:38:20
8547,Business,18.97,2026-01-19 08:38:20
